,State,1969-1970,1979-1980,1989-1990,1999-2000,2009-2010,2015-2016,2016-2017
1,Alabama,6818,13060,24828,36689,47571,48518,48868
2,Alaska,10560,27210,43153,46462,59672,67443,68138
3,Arizona,8711,15054,29402,36902,46952,47218,47403
4,Arkansas,6307,12299,22352,33386,46700,48218,48616
5,California,10315,18020,37998,47680,68203,77179,78711
6,Colorado,7761,16205,30758,38163,49202,46155,46506
7,Connecticut,9262,16229,40461,51780,64350,72013,72561
8,Delaware,9015,16148,33377,44435,57080,59960,60214
9,Columbia,10285,22190,38402,47076,64548,75810,76131
10,Florida,8412,14149,28803,36722,46708,49199,49407
11,Georgia,7276,13853,28006,41023,53112,54190,54602
12,Hawaii,9453,19920,32047,40578,55063,57431,57674
13,Idaho,6890,13611,23861,35547,46283,46122,47504
14,Illinois,9569,17601,32794,46486,62077,61342,61602
15,Indiana,8833,15599,30902,41850,49986,50715,50554
16,Iowa,8355,15203,26747,35678,49626,54416,55443
17,Kansas,7612,13690,28744,34981,46657,47755,47984
18,Kentucky,6953,14520,26292,36380,49543,52134,52339
19,Louisiana,7028,13760,24300,33109,48903,49745,50000
20,Maine,7572,13071,26881,35561,46106,50498,51077
21,Maryland,9383,17558,36319,44048,63971,66456,66961
22,Massachusetts,8764,17253,34712,46580,69273,76981,77804
23,Michigan,9826,19663,37072,49044,57958,62028,62200
24,Minnesota,8658,15912,32190,39802,52431,56913,57346
25,Mississippi,5798,11850,24292,31857,45644,42744,42925
26,Missouri,7799,13682,27094,35656,45317,47957,48293
27,Montana,7606,14537,25081,32121,45759,51034,51422
28,Nebraska,7375,13516,25522,33237,46227,51386,52338
29,Nevada,9215,16295,30590,39390,51524,56943,57376
30,New Hampshire,7771,13017,28986,37734,51443,56616,57253
31,New Jersey,9130,17161,35676,52015,65130,69330,69623
32,New Mexico,7796,14887,24756,32554,46258,47163,47500
33,New York,10336,19812,38925,51020,71633,79152,79637
34,North Carolina,7494,14117,27883,39404,46850,47941,49837
35,North Dakota,6696,13263,23016,29863,42964,50472,51618
36,Ohio,8300,15269,31218,41436,55958,56441,57000
37,Oklahoma,6882,13107,23070,31298,47691,45276,45245
38,Oregon,8818,16266,30840,42336,55224,60359,61631
39,Pennsylvania,8858,16515,33338,48321,59156,65151,65863
40,Rhode Island,8776,18002,36057,47041,59686,66197,66477
41,South Carolina,6927,13063,27217,36081,47508,48769,48598
42,South Dakota,6403,12348,21300,29071,38837,42025,42668
43,Tennessee,7050,13972,27052,36328,46290,48217,48456
44,Texas,7255,14132,27496,37567,48261,51890,52575
45,Utah,7644,14909,23686,34946,45885,46887,47244
46,Vermont,7968,12484,29012,37758,49084,58901,60187
47,Virginia,8070,14060,30938,38744,50015,50834,51049
48,Washington,9225,18820,30457,41043,53003,53738,54147
49,West Virginia,7650,13710,22842,35009,45959,45622,45701
50,Wisconsin,8963,16006,31921,41153,51264,54115,54998
51,Wyoming,8232,16012,28141,34127,55861,58140,58650
